Profile: Function timing, sorted by time
Date:    Wed Jan 26 00:11:30 2005


Program Statistics
------------------
    Command line at 2005 Jan 26 00:10: "D:\Games\QUAKE\qmb-V1" 
    Total time: 23034.221 millisecond
    Time outside of functions: 255.550 millisecond
    Call depth: 89
    Total functions: 1576
    Total hits: 30876687
    Function coverage: 42.0%
    Overhead Calculated 1224
    Overhead Average 1224

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 22778.671 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1576
    Hits in module: 30876687
    Module function coverage: 42.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
      29.145   0.1       53.898   0.2   102246 _Cache_Check (zone.obj)
      29.106   0.1     2645.721  11.6        1 _Host_Init (host.obj)
      28.439   0.1       28.439   0.1    12964 _Mod_PointInLeaf (gl_model.obj)
      27.213   0.1       46.708   0.2   154704 _GL_EnableTMU (gl_rsurf.obj)
      27.152   0.1      509.972   2.2     6482 _S_ExtraUpdate (snd_dma.obj)
      25.909   0.1      372.665   1.6     1684 _decompress_onepass (jdcoefct.obj)
      24.578   0.1      395.921   1.7    12964 _S_Update_ (snd_dma.obj)
      23.867   0.1      248.415   1.1    12964 _S_PaintChannels (snd_mix.obj)
      23.622   0.1       23.622   0.1     5139 _AllocBlock (gl_rsurf.obj)
      21.371   0.1    22674.698  99.5        1 _WinMain@16 (sys_win.obj)
      21.137   0.1      543.575   2.4     6482 _S_Update (snd_dma.obj)
      20.826   0.1       20.826   0.1   162099 _Surf_Reset (gl_renderworld.obj)
      20.512   0.1      400.864   1.8    16675 _R_DrawBrush (gl_rsurf.obj)
      20.131   0.1      173.672   0.8     6508 _SCR_DrawConsole (gl_screen.obj)
      19.982   0.1       19.982   0.1   115785 _Surf_EnableCaustic (gl_renderworld.obj)
      19.982   0.1       19.982   0.1   115785 _Surf_EnableNormal (gl_renderworld.obj)
      19.982   0.1       19.982   0.1   115785 _Surf_EnableShiny (gl_renderworld.obj)
      19.700   0.1    15519.812  68.1     6522 _SCR_UpdateScreen (gl_screen.obj)
      18.368   0.1       18.368   0.1   103184 _jzero_far (jutils.obj)
      18.064   0.1    19978.501  87.7     7617 __Host_Frame (host.obj)
      17.196   0.1       17.196   0.1   102309 _Cache_UnlinkLRU (zone.obj)
      16.302   0.1       16.606   0.1      122 _ResampleSfx (snd_mem.obj)
      15.846   0.1       19.144   0.1    20611 _Sys_FloatTime (sys_win.obj)
      15.013   0.1       15.013   0.1        2 _S_BlockSound (snd_win.obj)
      14.842   0.1       14.842   0.1    13061 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
      14.249   0.1     4096.239  18.0     6482 _R_DrawParticles (gl_rpart.obj)
      14.213   0.1       25.600   0.1        1 _CDAudio_Init (cd_win.obj)
      14.199   0.1       17.883   0.1     6508 _V_UpdatePalette (view.obj)
      13.156   0.1      771.620   3.4     6508 _Sbar_Draw (sbar.obj)
