Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
     114.479   0.1      114.479   0.1     5125 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
     112.679   0.1      112.679   0.1     3140 _fReadData (gl_png.obj)
     111.016   0.1      163.493   0.2     1181 _CL_RelinkEntities (cl_main.obj)
     102.270   0.1      102.270   0.1    11394 _CalcSurfaceExtents (gl_model.obj)
      98.438   0.1      378.715   0.4     1224 _SCR_DrawFPS (gl_screen.obj)
      96.295   0.1    37451.722  38.6      281 _GL_LoadTexImage (gl_draw.obj)
      95.967   0.1      101.997   0.1    30313 _MSG_ReadCoord (common.obj)
      95.904   0.1    31182.661  32.1     1240 _SCR_UpdateScreen (gl_screen.obj)
      95.504   0.1       95.504   0.1   111407 _Q_strncmp (common.obj)
      92.137   0.1     1364.288   1.4     2363 _S_PaintChannels (snd_mix.obj)
      90.645   0.1       90.645   0.1   106942 _Q_strcmp (common.obj)
      86.159   0.1       86.159   0.1     1182 _R_SetupGL (gl_rmain.obj)
      82.522   0.1       82.522   0.1    23901 _MSG_ReadChar (common.obj)
      79.494   0.1      743.805   0.8     9437 _R_DrawBrushModel (gl_rsurf.obj)
      79.048   0.1      417.733   0.4    11012 _BuildSurfaceDisplayList (gl_rsurf.obj)
      78.173   0.1       77.809   0.1      965 _CL_ParseClientdata (cl_parse.obj)
      77.712   0.1     1736.145   1.8      295 _Cmd_ExecuteString (cmd.obj)
      75.851   0.1       84.228   0.1     1182 _R_PolyBlend (gl_rmain.obj)
      75.324   0.1       75.324   0.1     5684 _addGrav (gl_rpart.obj)
      72.422   0.1       72.422   0.1    33767 _Cache_MakeLRU (zone.obj)
      71.483   0.1       71.483   0.1     2363 _Mod_PointInLeaf (gl_model.obj)
      69.101   0.1     9190.392   9.5     9946 _Draw_Pic (gl_draw.obj)
      62.828   0.1       58.545   0.1        2 _Mod_LoadSurfedges (gl_model.obj)
      61.471   0.1      213.975   0.2     1180 _CL_SendMove (cl_input.obj)
      60.906   0.1      385.260   0.4     7252 _R_LightPoint (gl_rlight.obj)
      60.800   0.1     6579.704   6.8     1182 _R_DrawParticles (gl_rpart.obj)
      60.662   0.1      679.740   0.7    25589 _S_LoadSound (snd_mem.obj)
      58.249   0.1     1282.212   1.3     1181 _S_Update (snd_dma.obj)
      57.925   0.1       92.045   0.1        2 _Mod_LoadClipnodes (gl_model.obj)
      57.698   0.1       57.698   0.1     1182 _IN_Accumulate (in_win.obj)
      57.653   0.1     4369.563   4.5       22 _Mod_LoadAliasModel (gl_model.obj)
      56.216   0.1       56.216   0.1     1224 _R_DrawQmbHud (gl_hud.obj)
      52.914   0.1    25325.866  26.1     1182 _R_RenderScene (gl_rmain.obj)
      51.420   0.1      104.008   0.1     3540 _MSG_WriteAngle (common.obj)
      50.193   0.1      745.917   0.8     2363 _S_Update_ (snd_dma.obj)
      49.319   0.1       49.185   0.1     1225 _V_UpdatePalette (view.obj)
      47.207   0.0       47.207   0.0     7378 _Q_memset (common.obj)
      47.147   0.0     1330.168   1.4        2 _GL_BuildLightmaps (gl_rsurf.obj)
      46.199   0.0      177.180   0.2     3607 _Sbar_DrawPic (sbar.obj)
      44.592   0.0      203.892   0.2     1224 _Scr_ShowNumP (gl_screen.obj)
      42.900   0.0       42.900   0.0    35672 _MSG_ReadShort (common.obj)
      42.314   0.0      123.025   0.1      546 _Cvar_FindVar (cvar.obj)
