Profile: Function timing, sorted by time
Date:    Mon May 17 17:10:50 2004


Program Statistics
------------------
    Command line at 2004 May 17 17:08: "D:\Games\QUAKE\qmb-V1" 
    Total time: 71320.486 millisecond
    Time outside of functions: 104.009 millisecond
    Call depth: 89
    Total functions: 1623
    Total hits: 5770749
    Function coverage: 34.6%
    Overhead Calculated 11
    Overhead Average 11

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 71216.477 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1623
    Hits in module: 5770749
    Module function coverage: 34.6%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   19259.406  27.0    19259.404  27.0      235 _GL_Upload32 (gl_draw.obj)
    9095.829  12.8    28348.479  39.8      233 _GL_LoadTexture (gl_draw.obj)
    5647.661   7.9     5647.661   7.9   898875 _Draw_Character (gl_draw.obj)
    3262.188   4.6     6071.690   8.5     3698 _R_DrawTextureChains (gl_rsurf.obj)
    2380.271   3.3     2505.019   3.5   828511 _SV_RecursiveHullCheck (world.obj)
    2237.028   3.1     2237.896   3.1       41 _LoadTGA (gl_tga.obj)
    1525.680   2.1     1578.281   2.2     4886 _S_TransferStereo16 (snd_mix.obj)
    1500.685   2.1     1500.685   2.1     2072 _SNDDMA_GetDMAPos (snd_win.obj)
    1453.364   2.0     1653.323   2.3    17190 _EmitWaterPolysMulti (gl_warp.obj)
    1333.081   1.9     2346.334   3.3   313757 _R_CullBox (gl_rmain.obj)
    1239.736   1.7     1239.736   1.7        1 _bSetupPixelFormat (gl_vidnt.obj)
    1226.969   1.7     3411.884   4.8   206588 _R_RecursiveWorldNode (gl_rsurf.obj)
    1075.303   1.5     1075.303   1.5     1036 _DrawParticles (gl_rpart.obj)
    1012.378   1.4     1012.378   1.4  1174523 _BoxOnPlaneSide (mathlib.obj)
     987.656   1.4      987.656   1.4     1079 _GL_EndRendering (gl_vidnt.obj)
     956.221   1.3      981.163   1.4       46 _png_read_image (libpng12.dll)
     900.704   1.3      900.350   1.3        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     900.536   1.3      900.536   1.3     1114 _Sys_FileTime (sys_win.obj)
     820.519   1.2      820.519   1.2   166040 _SV_HullPointContents (world.obj)
     722.827   1.0      722.827   1.0        1 _Sys_PageIn (sys_win.obj)
     655.815   0.9      655.815   0.9        3 _VID_SetPalette (gl_vidnt.obj)
     622.539   0.9      622.539   0.9      187 _Sys_FileRead (sys_win.obj)
     600.810   0.8      600.810   0.8     1447 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     504.878   0.7      572.182   0.8        1 _VID_Shutdown (gl_vidnt.obj)
     416.903   0.6      479.186   0.7     3542 _R_DrawQ3Model (gl_md3.obj)
     415.165   0.6     1435.614   2.0       46 _LoadPNG (gl_png.obj)
     403.224   0.6     1681.928   2.4      224 _Con_DrawConsole (console.obj)
     396.563   0.6      815.883   1.1   221136 _R_RenderDynamicLightmaps (gl_rsurf.obj)
     384.002   0.5     3819.432   5.4     1036 _R_UpdateAll (gl_rpart.obj)
     342.364   0.5      342.344   0.5        1 _SNDDMA_InitDirect (snd_win.obj)
     271.576   0.4      286.070   0.4     1037 _Sys_SendKeyEvents (sys_win.obj)
     259.563   0.4     1962.806   2.8    20758 _R_DrawAliasModel (gl_mesh.obj)
     239.429   0.3      239.429   0.3    14997 _R_AddDynamicLights (gl_rsurf.obj)
     238.623   0.3      390.578   0.5    71756 _SND_Spatialize (snd_dma.obj)
     228.944   0.3      214.888   0.3    41747 _GL_DisableTMU (gl_rsurf.obj)
     218.590   0.3      218.470   0.3        1 _VID_InitFullDIB (gl_vidnt.obj)
     218.255   0.3      218.255   0.3     1036 _R_Clear (gl_rmain.obj)
     217.487   0.3      217.487   0.3     7252 _Draw_AlphaFillFade (gl_draw.obj)
     214.704   0.3     3387.465   4.8        1 _VID_Init (gl_vidnt.obj)
     201.236   0.3      434.901   0.6    22557 _CL_ParseUpdate (cl_parse.obj)
     198.972   0.3      942.506   1.3   138344 _CL_TruePointContents (gl_rpart.obj)
     198.824   0.3      198.824   0.3    39442 _RecursiveLightPoint (gl_rlight.obj)
     197.527   0.3      436.956   0.6    23823 _R_BuildLightMap (gl_rsurf.obj)
     195.130   0.3      205.091   0.3     8699 _Draw_AlphaPic (gl_draw.obj)
     164.906   0.2     1513.755   2.1        1 _VID_SetMode (gl_vidnt.obj)
     163.852   0.2      163.852   0.2     1294 _GL_DrawAliasFrame (gl_mesh.obj)
     156.178   0.2      156.178   0.2    23611 _SND_PaintChannelFrom8 (snd_mix.obj)
     154.434   0.2      154.463   0.2        1 _GL_UploadLightmap (gl_rsurf.obj)
     152.743   0.2      152.743   0.2   123980 _VectorNormalize (mathlib.obj)
     151.669   0.2    32770.601  46.0      949 _CL_ParseServerMessage (cl_parse.obj)
     137.718   0.2      184.430   0.3     3257 _Sys_FloatTime (sys_win.obj)
     130.753   0.2      541.316   0.8     8419 _R_DrawBrushModel (gl_rsurf.obj)
     127.758   0.2      127.758   0.2    31021 _Cache_UnlinkLRU (zone.obj)
     127.253   0.2      135.692   0.2        1 _IN_Init (in_win.obj)
     122.932   0.2      114.912   0.2    31392 _GL_EnableTMU (gl_rsurf.obj)
     113.506   0.2      113.506   0.2    71666 _MSG_ReadByte (common.obj)
     113.026   0.2      330.514   0.5     7252 _Sbar_DrawFade (sbar.obj)
      99.334   0.1       99.334   0.1     1036 _R_SetupGL (gl_rmain.obj)
      92.360   0.1      180.891   0.3     1036 _V_CalcRefdef (view.obj)
      92.244   0.1       92.244   0.1     4144 _Draw_AlphaFill (gl_draw.obj)
