Profile: Function timing, sorted by time
Date:    Mon May 17 19:14:20 2004


Program Statistics
------------------
    Command line at 2004 May 17 19:12: "D:\Games\QUAKE\qmb-V1" 
    Total time: 51675.643 millisecond
    Time outside of functions: 320.058 millisecond
    Call depth: 89
    Total functions: 1622
    Total hits: 6422828
    Function coverage: 34.0%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 51355.585 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1622
    Hits in module: 6422828
    Module function coverage: 34.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   16250.803  31.6    16250.804  31.6      243 _GL_Upload32 (gl_draw.obj)
    8079.161  15.7    24332.262  47.4      243 _GL_LoadTexture (gl_draw.obj)
    3952.407   7.7     3952.407   7.7   560343 _Draw_Character (gl_draw.obj)
    2566.259   5.0     4222.291   8.2     4841 _R_DrawTextureChains (gl_rsurf.obj)
    1028.682   2.0     1028.682   2.0  1531448 _BoxOnPlaneSide (mathlib.obj)
    1010.030   2.0     1054.087   2.1       46 _png_read_image (libpng12.dll)
     999.506   1.9     1095.124   2.1    21923 _EmitWaterPolysMulti (gl_warp.obj)
     943.338   1.8     1019.432   2.0   887183 _SV_RecursiveHullCheck (world.obj)
     895.290   1.7     1924.047   3.7   410493 _R_CullBox (gl_rmain.obj)
     885.527   1.7      885.527   1.7     1406 _DrawParticles (gl_rpart.obj)
     823.969   1.6      823.832   1.6        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     716.845   1.4     2528.437   4.9   270913 _R_RecursiveWorldNode (gl_rsurf.obj)
     664.612   1.3      664.612   1.3     2812 _SNDDMA_GetDMAPos (snd_win.obj)
     634.292   1.2      634.292   1.2     1449 _GL_EndRendering (gl_vidnt.obj)
     610.609   1.2      610.609   1.2        1 _Sys_PageIn (sys_win.obj)
     607.769   1.2      607.769   1.2   209437 _SV_HullPointContents (world.obj)
     580.080   1.1      580.191   1.1        1 _VID_Shutdown (gl_vidnt.obj)
     556.853   1.1      556.853   1.1     1898 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     492.032   1.0      492.856   1.0       41 _LoadTGA (gl_tga.obj)
     482.362   0.9      527.326   1.0     5304 _R_DrawQ3Model (gl_md3.obj)
     464.309   0.9      464.309   0.9        1 _bSetupPixelFormat (gl_vidnt.obj)
     448.619   0.9      448.619   0.9        3 _VID_SetPalette (gl_vidnt.obj)
     441.716   0.9      441.738   0.9        1 _SNDDMA_InitDirect (snd_win.obj)
     312.301   0.6      312.301   0.6     1406 _R_Clear (gl_rmain.obj)
     291.257   0.6      291.257   0.6    54452 _RecursiveLightPoint (gl_rlight.obj)
     275.398   0.5     2031.412   4.0     1406 _R_UpdateAll (gl_rpart.obj)
     202.004   0.4      202.004   0.4     1114 _Sys_FileTime (sys_win.obj)
     195.602   0.4      268.929   0.5    97766 _SND_Spatialize (snd_dma.obj)
     191.460   0.4      191.460   0.4     1468 _GL_DrawAliasFrame (gl_mesh.obj)
     189.642   0.4      721.276   1.4   180982 _CL_TruePointContents (gl_rpart.obj)
     178.724   0.3      178.735   0.3        1 _VID_InitFullDIB (gl_vidnt.obj)
     173.119   0.3      173.119   0.3     9842 _Draw_AlphaFillFade (gl_draw.obj)
     170.878   0.3      170.878   0.3    11582 _Draw_AlphaPic (gl_draw.obj)
     170.158   0.3      170.158   0.3    18428 _R_AddDynamicLights (gl_rsurf.obj)
     168.177   0.3     1914.262   3.7    27775 _R_DrawAliasModel (gl_mesh.obj)
     166.887   0.3      227.749   0.4     4514 _S_TransferStereo16 (snd_mix.obj)
     166.479   0.3      167.282   0.3     1407 _Sys_SendKeyEvents (sys_win.obj)
     164.804   0.3      596.990   1.2       96 _Con_DrawConsole (console.obj)
     151.504   0.3      321.662   0.6    27307 _R_BuildLightMap (gl_rsurf.obj)
     132.572   0.3      132.596   0.3        1 _GL_UploadLightmap (gl_rsurf.obj)
     126.792   0.2     1223.352   2.4        1 _VID_SetMode (gl_vidnt.obj)
     124.783   0.2      124.783   0.2    24479 _SND_PaintChannelFrom8 (snd_mix.obj)
     120.659   0.2      120.659   0.2   152217 _VectorNormalize (mathlib.obj)
     112.372   0.2      137.767   0.3     1406 _CL_RelinkEntities (cl_main.obj)
     107.107   0.2      394.519   0.8   287476 _R_RenderDynamicLightmaps (gl_rsurf.obj)
     106.195   0.2      106.195   0.2   175131 _GL_SelectTexture (gl_draw.obj)
     100.241   0.2      163.576   0.3    22235 _CL_ParseUpdate (cl_parse.obj)
      85.560   0.2       85.560   0.2    23375 _R_MarkLights (gl_rlight.obj)
      85.121   0.2       85.121   0.2     5624 _Draw_AlphaFill (gl_draw.obj)
      77.169   0.2       77.169   0.2     1406 _IN_Accumulate (in_win.obj)
      74.377   0.1       74.377   0.1    93993 _Q_strcmp (common.obj)
      72.756   0.1       82.500   0.2     1406 _R_PolyBlend (gl_rmain.obj)
      70.860   0.1       70.860   0.1     5139 _AllocBlock (gl_rsurf.obj)
      64.345   0.1      115.185   0.2     5144 _BuildSurfaceDisplayList (gl_rsurf.obj)
      63.381   0.1     2121.162   4.1        1 _VID_Init (gl_vidnt.obj)
      62.524   0.1       83.110   0.2     4841 _R_DrawExtraChains (gl_rsurf.obj)
      61.592   0.1      102.864   0.2        1 _IN_Init (in_win.obj)
      60.441   0.1       86.672   0.2    40263 _GL_EnableTMU (gl_rsurf.obj)
      58.789   0.1      217.202   0.4    25111 _S_LoadSound (snd_mem.obj)
      56.902   0.1      448.601   0.9    12018 _R_DrawBrushModel (gl_rsurf.obj)
      55.066   0.1       83.604   0.2        1 _CDAudio_Init (cd_win.obj)
      51.162   0.1       51.162   0.1   120616 _ShortNoSwap (common.obj)
      48.981   0.1      705.109   1.4     1449 _SCR_DrawConsole (gl_screen.obj)
      47.291   0.1       47.291   0.1     7264 _R_BlendedRotateForEntity (gl_rmain.obj)
      46.803   0.1       46.803   0.1     4613 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
      46.737   0.1       46.737   0.1        2 _LoadPCX (gl_pcx.obj)
      46.014   0.1     1033.643   2.0     1406 _S_Update (snd_dma.obj)
      45.327   0.1       45.327   0.1     1406 _R_SetupGL (gl_rmain.obj)
      43.654   0.1       43.654   0.1     2256 _fReadData (gl_png.obj)
      43.538   0.1       43.538   0.1     5274 _CalcSurfaceExtents (gl_model.obj)
      42.552   0.1       42.552   0.1     1449 _GL_Set2D (gl_draw.obj)
      42.419   0.1       42.419   0.1     2812 _Mod_PointInLeaf (gl_model.obj)
      39.943   0.1      546.231   1.1     2812 _S_PaintChannels (snd_mix.obj)
