Profile: Function timing, sorted by time
Date:    Thu Oct 21 11:32:35 2004


Program Statistics
------------------
    Command line at 2004 Oct 21 11:32: "D:\Games\QUAKE\qmb-V1" 
    Total time: 5487.618 millisecond
    Time outside of functions: 244.799 millisecond
    Call depth: 72
    Total functions: 1588
    Total hits: 3012086
    Function coverage: 40.2%
    Overhead Calculated 1232
    Overhead Average 1232

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 5242.819 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1588
    Hits in module: 3012086
    Module function coverage: 40.2%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
    1429.445  27.3     1493.010  28.5       57 _png_read_image (libpng12.dll)
     489.260   9.3      920.595  17.6      248 _GL_LoadTexture (gl_draw.obj)
     351.706   6.7      353.133   6.7        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     316.038   6.0      317.031   6.0        1 _VID_Shutdown (gl_vidnt.obj)
     267.200   5.1      429.856   8.2      248 _GL_Upload32 (gl_draw.obj)
     194.708   3.7      194.708   3.7        3 _VID_SetPalette (gl_vidnt.obj)
     167.929   3.2      167.929   3.2   309552 _jpeg_idct_islow (jidctint.obj)
     135.931   2.6      135.931   2.6   499432 _Draw_Character (gl_draw.obj)
     126.611   2.4      200.168   3.8   103184 _decode_mcu (jdhuff.obj)
     123.927   2.4      123.927   2.4        1 _bSetupPixelFormat (gl_vidnt.obj)
     110.807   2.1      110.841   2.1        1 _SNDDMA_InitDirect (snd_win.obj)
     106.337   2.0      601.922  11.5        1 _VID_SetMode (gl_vidnt.obj)
      90.908   1.7       90.961   1.7        1 _VID_InitFullDIB (gl_vidnt.obj)
      85.237   1.6      162.515   3.1      134 _Image_Resample32Lerp (gl_draw.obj)
      77.278   1.5       77.278   1.5    10430 _Image_Resample32LerpLine (gl_draw.obj)
      65.854   1.3       65.854   1.3     1258 _Sys_FileTime (sys_win.obj)
      63.848   1.2       63.848   1.2     3946 _fReadData (gl_png.obj)
      60.115   1.1       65.001   1.2   748978 _jpeg_fill_bit_buffer (jdhuff.obj)
      59.080   1.1       68.234   1.3      183 _Surf_DrawTextureChainsFour (gl_renderworld.obj)
      57.080   1.1       57.080   1.1    13467 _ycc_rgb_convert (jdcolor.obj)
      50.210   1.0      534.974  10.2       29 _LoadJPG (gl_jpg.obj)
      47.194   0.9      917.283  17.5        1 _VID_Init (gl_vidnt.obj)
      38.918   0.7     1536.869  29.3       57 _LoadPNG (gl_png.obj)
      35.224   0.7      166.945   3.2      195 _Con_DrawConsole (console.obj)
      33.927   0.6       33.927   0.6      195 _GL_EndRendering (gl_vidnt.obj)
      28.220   0.5      414.294   7.9     1684 _decompress_onepass (jdcoefct.obj)
      25.948   0.5       25.948   0.5   159197 _BoxOnPlaneSide (mathlib.obj)
      24.790   0.5       24.790   0.5     5139 _AllocBlock (gl_rsurf.obj)
      21.145   0.4       65.498   1.2    29634 _R_RecursiveWorldNode (gl_rsurf.obj)
      19.513   0.4       45.405   0.9    41528 _R_CullBox (gl_rmain.obj)
      18.913   0.4       20.314   0.4      412 _R_DrawQ3Model (gl_md3.obj)
      18.469   0.4       18.888   0.4      184 _Sys_SendKeyEvents (sys_win.obj)
      17.849   0.3       17.849   0.3   103184 _jzero_far (jutils.obj)
      16.322   0.3       16.322   0.3      366 _SNDDMA_GetDMAPos (snd_win.obj)
      16.159   0.3       16.159   0.3       71 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
      15.418   0.3       15.418   0.3        1 _CDAudio_GetAudioDiskInfo (cd_win.obj)
      15.299   0.3       16.146   0.3      122 _ResampleSfx (snd_mem.obj)
      13.673   0.3       13.673   0.3      183 _DrawParticles (gl_rpart.obj)
      13.519   0.3       13.519   0.3        2 _LoadPCX (gl_pcx.obj)
      12.154   0.2       22.412   0.4      183 _R_UpdateAll (gl_rpart.obj)
      11.573   0.2       11.573   0.2      183 _R_Clear (gl_rmain.obj)
      11.024   0.2       27.446   0.5        1 _CDAudio_Init (cd_win.obj)
      10.722   0.2       16.830   0.3        1 _WINS_Init (net_wins.obj)
      10.118   0.2       84.488   1.6      769 _COM_FindFile (common.obj)
       9.061   0.2       11.079   0.2        1 _IN_Init (in_win.obj)
       8.180   0.2        8.180   0.2     1281 _Draw_AlphaFillFade (gl_draw.obj)
       8.163   0.2        8.163   0.2     1842 _Draw_AlphaPic (gl_draw.obj)
       8.133   0.2        8.133   0.2     1283 _Q_memcpy (common.obj)
       7.826   0.1        8.502   0.2    88017 _jpeg_huff_decode (jdhuff.obj)
       7.710   0.1        7.710   0.1    70542 _VectorNormalize (mathlib.obj)
       7.690   0.1        7.690   0.1      186 _Sys_FileRead (sys_win.obj)
       7.632   0.1     2989.524  57.0      190 _GL_LoadTexImage (gl_draw.obj)
       7.381   0.1        7.381   0.1     5139 _R_BuildLightMap (gl_rsurf.obj)
       7.295   0.1        7.295   0.1    52711 _Q_strncmp (common.obj)
       6.750   0.1        6.750   0.1    94627 _Q_strcmp (common.obj)
       6.617   0.1        6.752   0.1       10 _LoadTGA (gl_tga.obj)
       6.569   0.1        6.569   0.1     5274 _CalcSurfaceExtents (gl_model.obj)
       6.551   0.1        6.551   0.1    11265 _SV_HullPointContents (world.obj)
       6.522   0.1        6.522   0.1      736 _fill_input_buffer (jdatasrc.obj)
       6.394   0.1       15.702   0.3     5144 _BuildSurfaceDisplayList (gl_rsurf.obj)
       6.294   0.1        6.294   0.1     1863 _StripLength (gl_mesh.obj)
       6.072   0.1        6.072   0.1        1 _WINS_OpenSocket (net_wins.obj)
       5.987   0.1      639.834  12.2       28 _Mod_LoadQ3Model (gl_md3.obj)
       5.949   0.1        5.949   0.1   120616 _ShortNoSwap (common.obj)
       5.926   0.1        5.926   0.1     1863 _FanLength (gl_mesh.obj)
       5.003   0.1        5.003   0.1    30152 _R_RenderDynamicLightmaps (gl_rsurf.obj)
       4.886   0.1        6.753   0.1      134 _Sys_FileOpenRead (sys_win.obj)
       4.832   0.1        4.832   0.1      732 _Draw_AlphaFill (gl_draw.obj)
       3.867   0.1        3.867   0.1    67166 _LongNoSwap (common.obj)
       3.838   0.1       13.490   0.3     5918 _Hunk_AllocName (zone.obj)
       3.760   0.1        3.760   0.1      183 _IN_Accumulate (in_win.obj)
       3.638   0.1        3.718   0.1      183 _CL_RelinkEntities (cl_main.obj)
       3.597   0.1       20.950   0.4        1 _Mod_LoadFaces (gl_model.obj)
       3.311   0.1        5.519   0.1    12183 _SND_Spatialize (snd_dma.obj)
       3.303   0.1        4.133   0.1      370 _S_TransferStereo16 (snd_mix.obj)
       3.104   0.1        3.104   0.1       21 _Mod_FloodFillSkin (gl_model.obj)
       3.021   0.1       62.571   1.2    13467 _sep_upsample (jdsample.obj)
       2.984   0.1        2.994   0.1        1 _GL_UploadLightmap (gl_rsurf.obj)
       2.967   0.1        2.967   0.1     3245 _RecursiveLightPoint (gl_rlight.obj)
       2.825   0.1      255.457   4.9       21 _Mod_LoadAliasModel (gl_model.obj)
       2.598   0.0        2.598   0.0      199 _filelength (sys_win.obj)
       2.483   0.0        2.483   0.0     1028 _Z_CheckHeap (zone.obj)
       2.475   0.0        2.828   0.1      183 _R_PolyBlend (gl_rmain.obj)
       2.470   0.0        2.543   0.0      172 _Hunk_HighAllocName (zone.obj)
       2.470   0.0        2.470   0.0    40401 _fullsize_upsample (jdsample.obj)
       2.345   0.0        8.896   0.2    11265 _CL_TruePointContents (gl_rpart.obj)
       2.159   0.0        2.159   0.0    35247 _FloatNoSwap (common.obj)
       2.027   0.0        2.027   0.0    28192 _Q_strncasecmp (common.obj)
       2.024   0.0        2.024   0.0      130 _Sys_FileClose (sys_win.obj)
       1.912   0.0        1.912   0.0      183 _R_SetupGL (gl_rmain.obj)
       1.863   0.0        3.890   0.1    28191 _Q_strcasecmp (common.obj)
       1.792   0.0        4.039   0.1        1 _Mod_LoadNodes (gl_model.obj)
       1.716   0.0        1.716   0.0    27136 _CRC_ProcessByte (crc.obj)
       1.617   0.0      479.928   9.2    13467 _jpeg_read_scanlines (jdapistd.obj)
       1.603   0.0       43.809   0.8     1417 _R_DrawAliasModel (gl_mesh.obj)
       1.540   0.0       20.675   0.4      183 _S_Update (snd_dma.obj)
       1.479   0.0       40.425   0.8      146 _GL_Upload8 (gl_draw.obj)
       1.472   0.0        1.864   0.0     1538 _Sys_FloatTime (sys_win.obj)
       1.452   0.0        1.452   0.0        1 _S_Shutdown (snd_dma.obj)
       1.446   0.0      478.311   9.1    13467 _process_data_simple_main (jdmainct.obj)
       1.432   0.0        1.432   0.0      366 _Mod_PointInLeaf (gl_model.obj)
       1.374   0.0        1.374   0.0      342 _Hunk_FreeToHighMark (zone.obj)
       1.360   0.0        1.360   0.0      195 _GL_Set2D (gl_draw.obj)
       1.207   0.0       16.857   0.3      183 _S_ExtraUpdate (snd_dma.obj)
       1.156   0.0        1.156   0.0      183 _Draw_TileClear (gl_draw.obj)
       1.151   0.0      253.849   4.8      195 _V_RenderView (view.obj)
       1.151   0.0        3.183   0.1      195 _Con_DrawInput (console.obj)
       1.125   0.0     3920.815  74.8     1156 __Host_Frame (host.obj)
       1.117   0.0        2.501   0.0        1 _Mod_LoadEdges (gl_model.obj)
       1.113   0.0        1.113   0.0     5614 _GL_SelectTexture (gl_draw.obj)
       1.098   0.0        5.161   0.1      547 _Cvar_FindVar (cvar.obj)
       1.097   0.0        1.097   0.0      190 _GL_FindTexture (gl_draw.obj)
       1.095   0.0        1.838   0.0      183 _Surf_DrawExtraChainsFour (gl_renderworld.obj)
       1.065   0.0       52.458   1.0        1 _GL_BuildLightmaps (gl_rsurf.obj)
       1.063   0.0        1.106   0.0      182 _IN_MouseMove (in_win.obj)
       1.055   0.0      492.636   9.4      209 _SCR_UpdateScreen (gl_screen.obj)
